plate,review_reason_code,customer_meaning,reviewer_comments,status
COJONIS,7,IT MEANS COURAGE,THIS LOOKS LIKE THE SPANISH WORK COJONES,N
EXCON,2,XCON,EX CON,N
TN7,2,NAME OF OUR RANCH 10-7,LOOKS LIKE TNT,N
URDUNN4,2,LAST NAME IS DUN AND WE ARE A FAMILY OF FOUR,YOURE DONE FOR,N
3100 BLK,4,3100 BLOCK,3100 BLOCK,N
BLUSHRK,4,BLUE HARLEY,BLUE,Y
AENIMA,3,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA,N
FATTO 1,2,IT IS THE NAME OF A GIRL IN A PUNJABI SONG   THAT  IS DESCRIBED AS SASSY.,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FATTO 2,2,FATTO IS THE NAME OF A SASSY GIRL IN A   PUNJABI  SONG,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FED S 69,1,"ABBREVIATION OF OUR NAME, FEDER.",no 69 car on ani,N
FNVADER,3,"""FUN VADER"" THIS IS MY TOY TRUCK, AND IT'S ALL BLACK AND LOOKS LIKE DARTH VADER",EFFIN VADER,N
GD 818,2,G-DRAGON'S INITIALS WITH HIS BIRTHDAY. HE IS A KOREAN SINGER AND HE IS MY IDOL,818=LOS ANGELES AREA CODE,N
GOBALLA,2,MY LAST NAME IS BALLA,"GO BALLER, CUSTOMER LAST NAME IS BALLA",N
GO G MEN,5,"GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS","G-MAN SHORT FOR GOVERNMENT MAN, MEANS AN FBI OR CIA AGENT",Y
GURUJP,2,GURUJEEP IS MY JEEP'S NAME.,"JAP? NO JEEP ON ANI, HAS HONDA",N
HALF333,2,BABY EVIL,333 IS HALF OF 666,Y
HALF666,2,BABY DEMON,PULLED FOR REVIEW OF 666 (SAME CUSTOMER AS HALF333),Y
LIT FAM,3,"SLOGAN, MEANING ITS COOL, FRIENDS",LIT CAN MEAN HIGH OR VERY INTOXICATED,N
LMTHANG,1,LITTLE MOTOR THING,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",N
LOW WIRE,3,I WORK AS A HI VOLTAGE LINEMAN AND MY CAR IS LOWERED ITS A PLAY ON WORDS,wire=amphetamines,N
LUV CBDS,3,"I LOVE CLEO,BEATRIZ,DANNETTE AND STEPHANIE","CBD=CANNABIDIOL, A COMPOUND OF MARIJUANA LIKE THC.",N
MGADETH,2,MY FAVORITE MUSICAL ARTIST,"pulled for death but almost didn’t, it is a band",N
MWAVEEY,3,NICKNAME,"URBAN DICTIONARY SAYS 'WAVEY' MEANS VERY DRUNK OR HIGH, OPPOSITE OF SOBER. 456 UP 194 DOWN",N
O16BCAT,1,2016 BLACK CAT,"PULLED FOR CAT, NO CAT CAR ON ANI. HAS A 2016 BMW",N
PAKOMER,1,SOURCE OF FOOD (SPANISH WORDS),comer=eat,N
ROTH415,2,LAST NAME AND AREA CODE,415=SAN FRANCISCO AREA CODE,N
SNL SKWD,1,THIS WAS THE NAME OF MY DADS RUNNING GROUP. HE PASSED AWAY RUNNING A MARATHON AND WANT THIS IN MEMORY OF HIM.,SCREWED,Y
YOU FOOL,2,YOU FOOL,CONFRONTATIONAL,N
ZZZ1969,1,YEAR OF CAR,no 69 car on ani,N
8TNGBBY,1,"IT'S A ROUGH TRANSLATION OF THE U2 ALBUM, ACHTUNG BABY, EXCEPT THAT THE ACHT IS THE  GERMAN NUMBER 8, WHICH IS ACHT IN GERMAN.",ate?,Y
818DIPN,2,CLASSIC CAR,"818 AREA CODE, LOS ANGELES",N
SPYMAN,5,SPY MAN,SPY=CIA=FEDERAL AGENT,Y
BALDRYZ,1,NAME,BALLS.. DRY BALLS… LAST NAME IS BALDRY,Y
BLWNBRA,1,NICK NAME OF THE CAR,"BLOWN, BRO",N
CARLEY8,1,NONE,"ATE, CUSTOMER NAME ISNT CARLEY",Y
CZYSLVI,2,CRAZY SALVADOREAN,CRAZY,Y
TRDPRO T,3,TRUCK MODEL,TRD looks like turd. Has Toyota truck,N
UGASHKA,1,OOGA SHAKA,you gash or ooga chaka,Y
RSTONED,7,"IM A NUMBER 1 FAN OF THE ROLLING STONES BAND, OLD SCHOOL CAR NEEDS AN OLD SCHOOL LICENSE PLATE.",STONED-WEED. ROLLING STONES.,N
STBN WGN,7,IT IS A REFERENCE TO A MOVIE,STABBIN WAGON,N
415GABE,7,IT’S THE DATE I MET MY WIFE,CA AREA CODE,N
BALZINI,1,MY MAGICIAN NAME WHEN I USE TO PERFORM AS A TEENAGER,BALLS IN 1?,N
GGG 69,1,INICIAL OF MY KIDS NAME,NO 69 CAR,N
805QWLT,7,805 AREA CODE QUILT,805 SAN LUIS OPISBO AREA CODE,N
BALLR22,1,MY BASKETBALL NUMBER,BALLER?,N
SHOVU,2,MY SON'S SHORT NAME,SHOVE YOU?,N
NCK SNPR,2,"THE CAR HAS A LOT OF HORSE POWER AND IS A ""NECK SNAPPER"" WHEN YOU FLOOR THE GAS PEDAL.",NECK SNAPPER,N
MS 7O7,7,707 IS A LUCKY UMBER SCHEME TO ME AND HAS BEEN FOR 7 YEARS NOW.,707 NAPPA AREA CODE,N
WHIP EM,2,NICKNAME,WHIP LIKE SPANK?,N
8MB 777,1,"THE FIRST LETTER OF MY WIFES NAME IS ""M"", AND MINE IS ""B"" AND OUR LUCKY NUMBER IS ""7"".","I THINK HE IS TRYING TO DO A OLD AUTO PLATE 8 AS A ""B"". HIS INTIALS ARE ""LG""",N
BLUE LUV,2,DODGER BLUE I LOVE,BLUE,Y
GO BLUE 7,2,UNIVERISTY OF MICHIGAN COLORS MY SPIRIT AND PRIDE,BLUE,Y
H77 GATO,1,MY SPANISH CAT,GATO MEANS CAT,N
KIKROX8,2,KICK ROCKS 8,KICK ROCKS,N
RSTNPCE,2,"I'M A HUGE FAN OF THE RED HOT CHILI PEPPERS. PLATE IS MEANT TO BE READ AS ""CALIFORNIA REST IN PEACE"" IN REFERENCE TO THEIR SONG ""DANI CALIFORNIA"".",REST IN PEACE,N
VR38 510,2,THIS IS AN NISSAN ENGINE SIZE DESIGNATION.,510 AREA CODE,Y
XB CRAZY,2,CRAZY ABOUT TOYOTA SCION XB,CRAZY,Y
415RMDL,2,MY BUSINESS,415 AREA CODE,N
O7 KITY,2,2007 JAGUAR XK KITY LIKE A CAT,KITTY,N
415VICT,2,415 IS A CAL PENAL CODE SECTION VICT IS MAKE OF MOTORCYCLE (VICTORY),415 AREA CODE,N
TRU BLEU,2,"FAVORITE COLOR IS BLUE, LOVE THE OCEAN THAT'S BLUE, THE CAR IT WILL BE ATTACHED TO IS BLUE. LOVE THE COLOR BLUE",TRU BLUE,Y
APX PD8R,2,LIKES CORNERS,apex predator,N
BALZOU7,1,M M NAME KUT,balls out,N
BLCK BST,2,BLACK BEAST FOR BLACK DODGE CHALLENGER,HAS A 2013 DODGE CP ON ANI,Y
BRNG IT,2,BRING IT,"A CHALLENGE, CONFRONTATIONAL?",N
BUHSCRU,1,BUHAGIAR FAMILY,"last name is Buhagiar, pulled for screw",N
CADAVRZ,2,I AM IN THE MORTUARY FIELD THIS PLATE IS NOT INTENDED TO BE OFFENSIVE TOWARD ANYBODY.. I ALREADY HAVE A PLATE WITH BODIES1 ON IT.,CADAVER=A DEAD BODY. FYI THIS IS NOT OUT WITH AN 'S',N
CHULO62,1,CUTE 1962,CHULO=PIMP,Y
COOK ME,2,OUR LAST NAME AND OUR FIRST I INISHELS.,"last name is Cook, first name Michael. Looks like ""cook me""  ??",Y
LMFX911,3,INITIALS CAR MODEL,PULLED FOR MF.  NAME IS LARRY M FEDER. HAS PORSCHE,N
LT1 HNTR,2,LAWRENCE TAYLOR NUMBER 1 HUNTER,"LT1 is a camaro engine, camaro hunter?",N
MOKOSO,3,MY SONS NICKNAME,"(SPANISH)MOCOS=SNOT, BOOGERS. MOCOSO=A SNOTTY, RUNNY-NOSED KID",N
NGRITO1,2,"BLAKIE ONE, MY CAR IS BLACK JUST A PET NAME FOR IT IN SPANISH",NGR. NGRITO & NEGRITO are unacceptable,N
OUTBALZ,1,LAST NAME OUT OF TIME,"BALLS, CUSTOMER LAST NAME IS WOODS",N
PLCE BOX,1,DOCTOR WHO TARDIS TIME MACHINE,"BOX, has 2016 VW station wagon",N
PZZA CHP,5,PIZZA CHIP,pulled for CHP,N
SSCRUDE,1,SUPER SPORT BLACK OIL,SCREWED,N
U SUSPCT,2,YOU SUSPECT,"because of the ""you"" accusing",N
WUACHAA,3,IT'S A SLANG WORD FOR LOOK,CUSTOMER MEANING IS TRUE(FROM ENGLISH WORD 'WATCH') BUT IN ARGENTINA IT IS USED (GUACHA) LIKE 'BASTARD' . WUACHA HAS BEEN OUT SINCE 2006,Y
1969 MNI,1,1969 MINI COOPER,"HAS A 2013 MINI COOPER, NO 69 CAR",N
51OBMXR,2,"AREA CODE, BICYCLIST",510 san francisco area code,N
69 MAKO,1,1969 MAKO SHARK,NO 69 VEHICLE ON ANI,N
RTCF$C,3,ARTSY FARTSY,fart,N
PRISNV,2,"GRANDCHILDREN: PAUL, ROBT., ISADORE, SALLY, NICK, VICTOR",PRISON OR PRISON ENVY?,Y
DDG 69,1,FIRST SHIP I SERVED ON WHILE IN THE NAVY. USS MILIUS (DDG-69) GUIDED MISSLE DESTROYER.,NO 69 VEHICLE ON ANI,N
DEFVET,2,DON'T HEAR WELL,DEAF VETERAN (VET PLATE),N
911 WC,4,BUSINESS NAME,"same customer ordered the above Legacy plate ""911 WC2"" this is Memorial plate, ok?",Y
911 WC1,4,COMPANY NAME,"same customer ordered the above Legacy plate ""911 WC2"" this is Memorial plate, ok?",Y
GO PAZZO,2,ITALIAN NAME FOR GO CRAZY,GO CRAZY OR INSANE (ITALIAN),Y
PAZZZO 1,2,ITALIAN NAME FOR CRAZY,CRAZY OR INSANE IN ITALIAN,Y
PUTRAGS,3,"PUTRAGIS' LIFEPATH NUMBER IS 3. #3 IN NUMEROLOGY REPRESENTS A TRIAGLE FROM THE UNION OF POSITIVE POWERS OF THE SOUL, BODY AND MIND",PUTRAGIS=DAMN IT! IN TAGALOG,N
8O5 SIGN,2,BUSINESS NAME.,"805, santa barbara area code",N
BUSAETR,1,HYABUSA EATER,EATER (M/C),N
THUGNMD,2,THE UGLY NOMAD (NOMAD IS THE MODEL OF MOTORCYCLE),THUGGIN MAD?,N
XID MARY,2,MY CAT IS CROSS EYED MARY,CROSS EYED MARY,N
TAISTIL,1,TRAVEL,TASTY (IRISH FOR TRAVEL- WIKTIONARY),Y
DADE213,2,MY LAST NAME. THE MONTH AND YEAR I FOUND MY FATHER,213 CA AREA CODE,N
JA69VA,1,MY NAME. YEAR I WAS BORN AND MY LAST NAME,COULDN'T VERIFY '69 VEHICLE,N
MO THUGZ,2,HIGH SCHOOL NICKNAME,THUGZ,N
QUIK 51O,2,QUICK DATSUN 51O,510 CA AREA CODE,N
51O LOL,2,DATSUN 510 LOL,510 CA AREA CODE,N
8O5 SRT8,2,ITS FOR MY 2007 CHARGER SRT8 AND 805 IS THE AREA CODE WHERE I LIVE,805 CA AREA CODE,N
DAMMITT,3,MY KIDS INTIALS,DAMN IT,N
JZCK831,7,JZ IS THE PARTNER OF CHARLES KANE AND WE STARTED DATING ON 8-31. THE MEANING IS SENTIMENTAL TO THE RELATIONSHIP WITH MY PARTNER.,831 SANTA CRUZ AREA CODE,N
69CORVT,1,ITS GOING ON A 1969 CORVETTE,NO 69 CAR ON RECORD,N
69 DIAZ,1,YEAR BORN AND LAST NAME,NO 69 CAR ON RECORD,N
JEEP&69,1,MY CAR IS A 1969 JEEP JEEPSTER,NO 69 VEHICLE ON RECORD,N
MR9R831,7,IT STANDS FOR MY TEAN SF 49ERS AND MY LOCAL AREA CODE,831 SOLEDAD AREA CODE,N
415TYME,2,WORKING SAN FRANCISCO,CUSTOMERS AREA CODE,N
LJAY69,1,NICKNAME AND BIRTH YEAR,NO 1969 VERIFIED,N
69 HLCAT,1,1969 DODGE CHARGER WITH 2015 HELLCAT ENGINE,NO 1969 VERIFIED,N
GMONEY9,7,COMPANY NAME,G. CUSTOMERS NAME IS GISELLE,N
JCCD51O,7,J-APANESE C-USTOM C-LASSIC D-ATSUN. 510 IS THE MODEL OF THE CAR,CA AREA CODE,Y
RH415K,7,INITIALS,CA AREA CODE,N
SUCID69,1,MY 1969 LINCOLN CONTINENTAL HAS SUICIDE DOORS,COULDN'T VERIFY 1969 VEHICLE,N
X415 SFC,7,OLD COLLEGE MAIL STOP NUMBER,CA AREA CODE,N
51O MADE,7,WAS BORN AND RAISED IN AREA CODE THAT WAS 510,CA AREA CODE,N
818BCHZ,7,818-SAN FERNANDO VALLEY. BCHZ-BEACHES,CA AREA CODE,N
MR 787,7,787 IS THE ZIPCODE OF MY HOMESTATE,CA AREA CODE,N
DRHUNTR,2,I'M A DEER HUNTER,LOOKS LIKE DOCTOR HUNTER,N
RADROJO,2,RAD MEANS AWESOME - ROJO - RED THE TRUCK IS RED . ITS A EXPENSIVE SHOW TRUCK,ROJO MEAN REDS,Y
WDDR209,2,CLAMPERS WIFE,209 AREA CODE,N
#SAMBLU,2,MY KIDS,BLU OR HANDSOME BLUE,Y
MY$HMPM,1,MY HUSBAND AND MY SON'S INITIALS.,LOOKS LIKE HUMP OR HEMP,N
707 VINO,2,SONOMA COUNTY WINE,707 AREA CODE,N
31ORIDE,2,LA AREA 310 RIDE MOTORCYLE PLATE,CA AREA CODE,N
CALI8O5,2,CALIFORNIA 8O'S,CA AREA CODE,N
KMFDM69,1,ROCK AND ROLL BAND. SONG FROM BAND.,69. DMFDM IS A BAND,N
THUGLIF,2,TITLE OF TUPAC SHAKUR'S ALBUM,THUG,N
213PRID,2,LOS ANGELES AREA CODE,CA AREA CODE,N
5IVE OH,5,MUSTANG MODEL,50-COULDN’T CONFIRM MUSTANG,N
69 BALI,1,MY PICKUP IS A 1969 CHEVY AND MY DBA CORP IS BALI SHORES POOL PLASTERING.,COULDN'T VERIFY 69 VEHICLE,N
69NSECT,1,1969 VOLKSWAGEN BEETLE (BUG). THAT’S WHAT NSECT IS FOR,COULDN'T VERIFY 69 VEHICLE,N
RAH 1,1,MY GRANDFATHER DROVE A CAR WITH THIS NUMBER PLATE IN SCOTLAND. HAS NO MEANING OTHER THAN PERSONAL,RAWONE IS CURRENTLY OUT. RAW1 IS UNACCEPTABLE,N
CUO TOS,1,COOL SAYING SEE YOU ON THE OTHER SIDE,TRYING TO SAY COUTUS? HE IS ORDERING 2 MC PLATES.,N
CYO TOS,1,NEW HARLEY ON THE OTHER SIDE,SEE ABOVE,N
PIPENIT,2,IM A PLUMBER,PIPE LIKE BONG FOR SMOKING MARIJUANA?,N
8LCKOUT,2,LOCKED OUT- I WORK FOR A LOCKSMITH. PLATE WILL BE USED ON MY DAILY DRIVER TO WORK,"""BLCKOUT"" IS CURRENT BUT BY HIS MEANING HE IS SUBING?",N
69LYME B,1,1969 LIME MGB,NO 69 CAR REGISTERED,N
RIPIMP C,2,REST IN PEACE CHAD BUTLER,PIMP?,N
RACH213,2,MY NAME AND MY TELEPHONE AREA CODE,213 LA AREA CODE,N
PBI3,2,MY BORN CITY ZIP CODE,"GOT DENIED ""PB13"" BACK IN 2015? SO NOW USING A ""I""?",N
OVR W8,2,I'M CALORICALLY CHALLENGED,NOT SAYING WHO?,Y
NOTCOPS,5,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS IT'S NOT THE POLICE,COP?,N
KI2MYSS,3,CAMARO LICENSE PLATE,"""KSMYSS"" IS MARKED UNACCEPTABLE",N
EAZY415,2,NICKNAME,415 BAY AREA CODE,N
DASH71O,2,NICKNAME,710 GOOGLE SAYS IS A FEDERAL AREA CODE??,N
DAM WGN,3,MY INITIALS-,DAMN?,N
COOL 69,1,COOL 1969 LEMANS,NO 69 ON RECORD,Y
BLCKTRD,2,BLACK TOYOTA TRD (TOYOTA RACING DEVELOPMENT ),TRD WE PULL,N
CAZANDO,2,OUT HUNTING.,HUNT IN SPANISH?,N
B747 8,2,THE ABBREVIATION OF THE BOEING 747-8 JET AIRPLANE,CA AREA CODE 747,N
2O6 4LIF,2,"SEATTLE, WA IS MY HOME CITY AND REPRESENT IT FOR LIFE",CA AREA CODE,Y
EL JEFFE,2,OWNERS NAME IS JEFF,THE BOSS,N
FR8O5GT,2,"MY INITIALS,MONTH AND DAY OF MOMS BIRTHDAY AND GT IS THE TYPE OF CAR IT IS.",805 AREA CODE,N
NRGPSTL,2,ENERGY PISTOL,LOOKS LIKE PISTOL,N
SEAN 666,2,"SEAN IS MY NAME. 6 IS MY LUCKY NUMBER, SO 666 MEANS I'LL BE VERY LUCKY ON EVERYTHING",666 MARK OF THE BEAST,Y
7GR 530,2,WE ARE A JOINT FAMILY OF 7 AS OF MAY 30TH. GR REPRESENTS OUR LAST NAMES GRAVES & REYNOLDS.,530 AREA CODE,N
515OR8,2,OAKLAND RAIDERS FAN NICKNAME,CRAZY R8,Y
FSTRIDE,2,FAST RIDE,FAST RIDE,Y
MAPX213,2,PLATE OF THE CAR I 1ST DROVE,213 LONG BEACH,N
17O7CAT,1,DODGE CHALLENGER WITH A 707 HORSE POWER HELLCAT MOTOR,707 AREA CODE,Y
4X4 JEFE,2,OFF-ROADING BOSS,JEFE BOSS,N
831EURO,2,AREA CODE,831 AREA CODE,N
ACKREDS,2,"COLOR OF CAR, REFERS TO NANTUCKET, MA.",REDS,N
JP QQ,1,MY INITIALS OF MY NAME AND LAST NAME JUAN PABLO QUEZADA QUEZADA,QQ LOOKS LIKE NIPPLES,Y
MUERTA3,2,NICKNAME,MUERTA MEANS DEAD,N
NO PANTS,1,"WE WORK FROM HOME, SO ONLY HAVE TO PUT ON PANTS WHEN WE GO OUT.",NO PANTS,N
SMX AMMO,2,COMPANY NAME,AMMO AS IN AMMUNITION,N
392 H3MI,2,ENGINE NAME,392 AREA CODE,N
AWZNTOP,1,SUCCESSFUL,ALWAYS ON TOP,N
BLUKOLR,2,NAME OF COMPANY. BLUE KOLLAR MOTORSPORTS,BLUE COLOR,Y
FACNBDY,1,FACE BODY,DACE AND BODY,Y
FLOR805,2,"FLOORING SUPPLIER IN THE 805 AREA CODE,",805 AREA  CODE SANTA BARBARA,N
I8 SEEYA,2,I8 - CAR MODEL SEEYA - BY BY,I8 LOOLKS LIKE 18,N
I812B4U,2,"I ATE ONE TOO, BEFORE YOU","I ATE ONE TO BEFORE YOU, SOUNDS LIKE BUGS.. MEANING THE CAR HTS BUGS.. ALSO A VANHALEN REFERENCE",N
NVW3N17,2,"IT SAYS ""LINEMAN"" UPSIDE DOWN. I AM A JOURNEYMAN ELECTRIC LINEMAN.",LINEMAN SPELLED UPSIDE DOWN AND BACKWARDS,Y
8O5CNCT,7,MY CONCRETE BUSINESS NAME,805 VENTURA AREA CODE,N
X MI6 X,5,ME INTELLIGENT/6 IS MY LUCKY NUMBER,MI6 IS BRITISH INTELLIGENCE?,N
MYPIGLT,5,A PIGLET,WE USUALLY PULL PIG UNLESS MC PLATE THIS IS NOT,Y
USAF4N,7,IT’S AN HOMAGE TO MY USAF (UNITED STATES AIR FORCE) SQUADRON 4N,"""USAFAN"" IS CURRENT? BUT HIS MEANING?",N
THE PRIK,2,THE POINTS ON A CACTUS,PRICK,N
619TRKR,2,619 TRUCKER,619 CA AREA CODE,N
8$5LOVE,2,AREA CODE LOVE THE AREA,805 CA AREA CODE,N
ARSIN 77,2,NICKNAME,LOOKS LIKE ARSEN,N
CRBFRKS,1,CHRIS ROBINSON BROTHERHOOD FREAKS,FREAKS,N
DAM6112,3,SONS NAME AND BIRTHDAY,DAMN,N
DTSU510,2,no micro,510 AREA CODE,Y
EL BULLY,2,MEANS MY 1964 IMPALA IS NUMBER 1 IN ITS CATEGORY,BULLY,N
LOCO PRO,2,ITS THE NAME OF MY PET,LOCO AS IN CRAZY,Y
LOKO 1O5,2,no micro,LOCO AS IN CRAZY,Y
SIMB628,2,SIMBA IS OUR DOGS NAME AND JUNE 28 IS OUR WEDDING ANNIVERSARY.,628 AREA CODE,N
WAX BIZ,1,OWN A AUTO DETAILING COMPANY AND AUTO WAX SUPPLY IS A PART OF THE BUSINESS,WAX BUSINESS,N
1L BRED,2,CLOTHING BRAND COMPANY NAME,LOOKS LIKE ILL BREED,Y
626 STCH,2,no micro,626 AREA CODE,N
F8TAL T,2,REFERENCE TO MORTAL COMBAT VIDEO GAME,FATAL,N
HOTBROD,2,MY CARS NAME,HOT BROAD,N
LGLYRED,2,AM A RED-HEADED ATTORNEY,LEGALLY RED,Y
TWERK TM,1,NICKNAME,TWERK TEAM,N
BONIN,1,LAST NAME,CUSTOMERS LAST NAME… BONIN,N
LEAL 69,1,"MY LAST NAME AND MY YEAR OF BIRTH, AUGUST 31, 1969",VERIFIED BIRTHDAY AS 8/31/69,N
SF415HD,2,SAN FRANCISCO 415 AREA CODE. HEAVY DUTY TRUCK,415-CA AREA CODE,N
SF415K5,2,SAN FRANCISCO 415 AREA CODE. K5 BLAZER TRUCK,415-CA AREA CODE,N
FC RETD,5,FIRE CAPTAIN,FIRE CAPTAIN,N
FORD213,2,I WORK FOR FORD AND 213 IS MY EMPLOYEE NUMBER,CA AREA CODE,N
KIWI 415,2,KIWI=APRIL 15,CA AREA CODE,N
MERKINS,1,FAMILY NAME,MERKIN…. PUBIC HAIR WIG,N
MUSH53O,2,GAMERTAG ON PS4,CA AREA CODE,N
ROXY 559,2,NY NICKNAME AND LOCATION,CA AREA CODE,N
323 EJ6,2,CAR MODEL,CA AREA CODE,N
415 SS,2,HORSE POWER AND MODEL TYPE,CA AREA CODE,N
72DA51O,2,YEAR AND MODEL OF THE CAR,CA AREA CODE,N
76OSYDE,2,CITY OF OCEANSIDE,CA AREA CODE,N
51ODYNA,2,AREA CODE BIKE TYPE,CA AREA CODE,N
MNIKUKU,2,AUNTIE KOO KOO'S MINI COOPER,LOOKS LIKE MONEY CRAZY MNI LOOKS LIKE MONEY KUKU LOOKS LIKE  COO COO KRAZY,N
PIOJO,2,SOCCE PLAYER NAME AND NUMBER FOR MY DAUTHER MANE,LICE IN SPANISH,Y
TANQUE,2,TANK IN SPANISH WHICH IS THE COLOR OF THE JEEP,TANK AS IN ARMY,N
MSTR805,2,MY BROTHERS NICKNAME IS MR.805 BECAUSE HE LIVES IN THAT AREA CODE,805 AREA CODE,N
FRKLKME,1,FREAK LIKE ME,FREAK LIKE ME,N
HEDONSM,1,HEDONISM,HEDONISM the pursuit of pleasure; sensual self-indulgence. ALSO A RESORT,N
NOTTYPB,2,TYPE A,NOTTY NAUGHTY,Y
BIGHIPS,2,I'M PUTTING IT ON A CHEVY DUALLY WHICH HAS A WIDE REAR END WITH 4 WHEELS,BIG HIPS INSULTING?,Y
JUST DP,1,"JUST ""DANG PADDLES"" DP IS MY BUSINESS NAME",DP-DOUBLE PENATRATION?,N
LILO 626,7,LILO & STITCH STITCH IS EXPERIMENT 626 IN THE MOVIE,626 PASADENA AREA CODE,N
MYBNR W,1,FAMILY INTIALS,"MY BONER? LAST NAME STARTS WITH A ""B""",N
SQR69BK,1,SQUAREBACK AND MY CAR IS A 1969,NO 69 CAR ON RECORD,N
MTMTBLS,1,MORE THAN MEATBALLS,BLS-BALLS?,N
NINO31O,2,GOD PARENT NAME,CA AREA CODE,N
SF213ND,2,FAVORITE CITY AND TEAM,CA AREA CODE,N
65OX65O,2,HORSE POWER AND TORQUE OF MOTOR IN CAR,CA AREA CODE,N
